iter	Passed	Remaining
400	19769	29531
401	19808	29466
402	19849	29404
403	19890	29343
404	19936	29289
405	19972	29221
406	20013	29160
407	20053	29097
408	20104	29050
409	20160	29010
410	20205	28955
411	20249	28899
412	20285	28832
413	20353	28810
414	20416	28779
415	20479	28750
416	20532	28705
417	20586	28663
418	20661	28649
419	20750	28656
420	20807	28616
421	20860	28571
422	20917	28533
423	20965	28481
424	21017	28435
425	21068	28387
426	21133	28359
427	21183	28310
428	21252	28286
429	21327	28271
430	21396	28247
431	21464	28221
432	21537	28202
433	21623	28200
434	21675	28152
435	21723	28101
436	21766	28042
437	21809	27984
438	21860	27935
439	21904	27878
440	21966	27844
441	22021	27801
442	22062	27740
443	22103	27679
444	22145	27619
445	22190	27563
446	22231	27503
447	22274	27445
448	22312	27381
449	22373	27344
450	22412	27283
451	22457	27226
452	22495	27163
453	22535	27102
454	22575	27040
455	22633	27000
456	22676	26943
457	22716	26883
458	22753	26818
459	22807	26774
460	22849	26715
461	22891	26657
462	22930	26595
463	22977	26543
464	23036	26504
465	23093	26462
466	23152	26424
467	23287	26472
468	23334	26418
469	23367	26351
470	23402	26283
471	23437	26217
472	23472	26152
473	23505	26084
474	23538	26015
475	23569	25946
476	23602	25878
477	23651	25828
478	23686	25762
479	23718	25694
480	23753	25629
481	23787	25564
482	23822	25499
483	23856	25434
484	23897	25376
485	23932	25311
486	23969	25248
487	24015	25196
488	24056	25139
489	24095	25078
490	24135	25020
491	24173	24959
492	24214	24902
493	24249	24838
494	24289	24779
495	24330	24723
496	24368	24663
497	24414	24611
498	24461	24559
499	24499	24499
500	24541	24443
501	24581	24385
502	24619	24326
503	24661	24270
504	24698	24209
505	24734	24148
506	24774	24090
507	24814	24032
508	24865	23985
509	24901	23925
510	24943	23869
511	24983	23812
512	25025	23757
513	25061	23696
514	25096	23634
515	25132	23573
516	25171	23516
517	25208	23456
518	25257	23407
519	25294	23349
520	25335	23292
521	25374	23235
522	25414	23179
523	25466	23133
524	25523	23092
525	25566	23039
526	25608	22984
527	25746	23016
528	25795	22966
529	25831	22907
530	25873	22852
531	25911	22794
532	25948	22735
533	25989	22679
534	26026	22621
535	26072	22570
536	26137	22535
537	26176	22478
538	26213	22419
539	26256	22366
540	26308	22321
541	26357	22272
542	26409	22226
543	26458	22178
544	26517	22138
545	26559	22084
546	26611	22038
547	26656	21986
548	26699	21933
549	26740	21878
550	26779	21822
551	26826	21771
552	26871	21720
553	26924	21675
554	26964	21620
555	27002	21563
556	27045	21509
557	27085	21454
558	27126	21400
559	27172	21349
560	27209	21292
561	27251	21238
562	27300	21190
563	27383	21168
564	27435	21122
565	27473	21066
566	27512	21010
567	27550	20953
568	27597	20904
569	27636	20848
570	27682	20798
571	27731	20749
572	27771	20695
573	27813	20642
574	27854	20587
575	27901	20538
576	27943	20485
577	28015	20453
578	28058	20401
579	28109	20355
580	28159	20307
581	28198	20252
582	28244	20202
583	28294	20154
584	28341	20105
585	28381	20051
586	28432	20004
587	28465	19945
588	28503	19889
589	28549	19839
590	28589	19785
591	28626	19729
592	28665	19674
593	28697	19615
594	28731	19556
595	28765	19499
596	28798	19439
597	28832	19382
598	28867	19324
